"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"C14","C16",1,"Zfp330","0.0284476702531893","0.882047201470171",0.0284476702531893,0.882047201470171,"0.750918099156029","0.0517314350323607","0.588999107812196","0.164086725861291","hyperlink",0.2,"ACC","ACC"
"C14","C16.1",1,"Zfp330","0.438920775114066","0.944822155940893",0.438920775114066,0.944822155940893,"0.520597094502035","0.230930448060927","0.499387404330909","0.25384589217296","hyperlink",0.2,"ACC","ACC"
"C14","C16.1.OH",1,"Zfp330","0.371584401650008","0.935507292366977",0.371584401650008,0.935507292366977,"0.57527736540101","0.176608508796372","0.503399937469197","0.249433793022701","hyperlink",0.2,"ACC","ACC"
"C14","C16.2",1,"Ercc3","0.230930355790376","0.943150580018683",0.230930355790376,0.943150580018683,"0.636247267295794","0.124490285458579","0.573724899797129","0.178053724998208","hyperlink",0.2,"ACC","ACC"
"C14","C16.2.OH",1,"Ercc3","0.0640370073087631","0.886127762242174",0.0640370073087631,0.886127762242174,"0.823380935647785","0.022838534641974","0.463422263875157","0.294953303053471","hyperlink",0.2,"ACC","ACC"
"C14","C16.OH",2,"Inhbe;Zfp330","0.520610451946304;0.470561327592185","0.952257367844799;0.952257367844799",0.495585889769244,0.952257367844799,"0.532781848036877;0.436597790650185","0.218224588633326;0.327382200309897","0.405466605072096;0.554778874971411","0.366817200114606;0.196153160370164","hyperlink",0.4,"ACC","ACC"
"C14","C18.2",2,"Tmem65;Zfp330","0.534323247185028;0.191654158021625","0.899268163252198;0.899268163252198",0.362988702603326,0.899268163252198,"-0.4188880723938;0.715641491969196","0.349584916719083;0.0705569320459359","-0.457663222682265;0.494872869218863","0.301790913215343;0.258852385551871","hyperlink",0.4,"ACC","ACC"
"C14","C2",2,"Slc7a5;Eif3m","-0.46755994794282;-0.614211389912601","0.787828473623452;0.787828473623452",-0.540885668927711,0.787828473623452,"0.772721540039618;0.875262433472354","0.0416691148963404;0.00985804886361034","0.89445823193229;0.895497876495973","0.00656155947074715;0.00640486235533975","hyperlink",0.4,"ACC","ACC"
"C14.1","C14.1.OH",1,"Zfp330","0.137384846778829","0.904200964944411",0.137384846778829,0.904200964944411,"0.647997390156865","0.115503639728493","0.62100151923525","0.136664524569746","hyperlink",0.2,"ACC","ACC"
"C14.1","C14.2.OH",4,"Tmem230;Ercc3;Tmem28;X3830406C13Rik","-0.274470882509797;-0.392437141568186;-0.205737406927933;-0.219273118180941","0.794206162183798;0.794206162183798;0.794206162183798;0.794206162183798",-0.272979637296714,0.794206162183798,"0.816997533535866;0.941356345706082;0.740252476982875;0.775454129888117","0.0248676490671909;0.0015496164355009;0.0570901849873881;0.0404920621906866","0.72313167108613;0.636455017445596;0.752769870300593;0.726879455122655","0.0662954126605781;0.124328392374307;0.0508303481946266;0.0642166964718901","hyperlink",0.8,"ACC","ACC"
