"from","to","weightreal","Genes","PcorValues","CorValues","PcorAverage","CorAverage","PcorLink1edge","PcorLink1edge_pvalue","PcorLink2edge","PcorLink2edge_pvalue","type","weight","Vertex1_Class","Vertex2_Class"
"PC.aa.C36.4","SM.C24.1",2,"Ubxn2a;Txnl1","-0.27386570110251;-0.382439538927803","0.76701202847032;0.76701202847032",-0.328152620015157,0.76701202847032,"0.83992566672165;0.684491369993174","0.00460326735407428;0.0419546646711189","0.686443812227304;0.905453869490461","0.0411407593419728;0.000779254364608878","hyperlink",0.333333333333333,"PC","SM"
"PC.aa.C36.5","PC.aa.C38.0",1,"Pank2","-0.382717581053503","0.712846437610111",-0.382717581053503,0.712846437610111,"0.780747305256254","0.0130152129742616","0.818197906614918","0.00702695981872041","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.5","PC.ae.C34.1",1,"Pank2","-0.0351259461582378","0.817080452283435",-0.0351259461582378,0.817080452283435,"0.569147990863984","0.109723322604877","0.788187364011343","0.0116245874302933","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.5","PC.ae.C36.0",1,"Ncoa5","-0.159911456806846","0.784258683882909",-0.159911456806846,0.784258683882909,"0.793852332211889","0.0106354142715587","0.655256486863775","0.0553990961409561","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.5","PC.ae.C38.0",1,"Pum3","-0.217669023321214","0.801995228738893",-0.217669023321214,0.801995228738893,"0.807258077392671","0.00852391458653126","0.692592093980447","0.0386444791511954","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.5","PC.ae.C40.2",3,"Mrpl16;Hnrnpf;Rhou","-0.325652088913526;-0.331086550948907;-0.508200951141056","0.700133431758528;0.700133431758528;0.700133431758528",-0.388313197001163,0.700133431758528,"0.770296583410583;0.781687952962259;0.845015534402627","0.0151507822590519;0.0128335438450046;0.00413262260161863","0.783165763945402;0.775929868194816;0.841071012629816","0.0125515800187175;0.0139726864632143;0.00449431894824322","hyperlink",0.5,"PC","PC"
"PC.aa.C36.6","PC.ae.C36.0",1,"Bscl2","0.526689102127314","0.902106998694496",0.526689102127314,0.902106998694496,"-0.394078856352874","0.293960677107111","-0.49343518898415","0.177056805509912","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.6","PC.ae.C38.0",1,"Akap1","-0.47935283328334","0.667302644531518",-0.47935283328334,0.667302644531518,"0.818648012705168","0.00696951711531272","0.839733164244951","0.00462175439018676","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C36.6","PC.ae.C40.2",2,"Fubp1;Ncoa5","-0.476803372906124;-0.530450220684257","0.650358270957046;0.650358270957046",-0.503626796795191,0.650358270957046,"0.784352255832402;0.895360603085214","0.0123282322469143;0.00110012109860212","0.865518155069786;0.790544225644397","0.00256843061557261;0.0112058521616656","hyperlink",0.333333333333333,"PC","PC"
"PC.aa.C38.0","PC.ae.C38.5",1,"Cep97","-0.304945025375194","0.802558284269446",-0.304945025375194,0.802558284269446,"0.835487303161236","0.00504253828721989","0.727278068130829","0.0263892809746417","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.1","PC.aa.C42.4",1,"Rela","-0.217532085771005","0.827368433134309",-0.217532085771005,0.827368433134309,"0.757748732872911","0.0180093291896286","0.754604931197296","0.0187777507704196","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.1","PC.ae.C40.2",1,"X2010106E10Rik","-0.361997206592345","0.67515089020455",-0.361997206592345,0.67515089020455,"0.767597596941126","0.0157380037052672","0.805595036998631","0.00876887809054051","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.1","PC.ae.C44.3",1,"Haus8","0.0108960221141404","0.882601439190924",0.0108960221141404,0.882601439190924,"0.38538093333199","0.30569811118413","0.898671034098418","0.000986338470782999","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.3","PC.aa.C40.6",1,"Clpp","-0.0839040710206948","0.793627164365324",-0.0839040710206948,0.793627164365324,"0.698684509688566","0.0362696111862949","0.700242334639543","0.0356779508466861","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.6","PC.aa.C40.6",1,"Dnpep","-0.571128257440248","0.662682165404367",-0.571128257440248,0.662682165404367,"0.836798600020208","0.00490990172606221","0.884665674544123","0.00152989600514646","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C38.6","SM.C24.1",2,"Ubxn2a;Txnl1","-0.286930966301335;-0.385095283996509","0.775853646143124;0.775853646143124",-0.336013125148922,0.775853646143124,"0.858118535814617;0.693790059628216","0.00307467031892681;0.0381697894567046","0.67632475815183;0.902284672729919","0.0454712103282785;0.000871785784486812","hyperlink",0.333333333333333,"PC","SM"
"PC.aa.C40.1","PC.ae.C30.1",1,"Nop16","-0.0649753883279947","0.855793759328151",-0.0649753883279947,0.855793759328151,"0.568173262092866","0.110471120415741","0.82136407403535","0.00662965162661121","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.1","PC.ae.C30.2",1,"Nop16","0.283452346042508","0.907705035448224",0.283452346042508,0.907705035448224,"0.222297990425104","0.565374995753285","0.846213109733359","0.00402689075485034","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.1","PC.ae.C36.0",1,"Prkce","-0.295527598587885","0.738532100029053",-0.295527598587885,0.738532100029053,"0.763855329336337","0.0165770608766818","0.778519458293031","0.0134523428720469","hyperlink",0.166666666666667,"PC","PC"
"PC.aa.C40.1","PC.ae.C38.1",1,"Prkce","-0.192670710367577","0.800424034324602",-0.192670710367577,0.800424034324602,"0.666386099759293","0.049998829010835","0.811928442812861","0.00786083426462749","hyperlink",0.166666666666667,"PC","PC"
